Far field
"Frequency"[Hz]	"FarField1 []"	
2.00000000E+09	1.85691450E+01	
2.00500000E+09	1.77064418E+01	
2.01000000E+09	1.68827061E+01	
2.01500000E+09	1.60957634E+01	
2.02000000E+09	1.53444146E+01	
2.02500000E+09	1.46269239E+01	
2.03000000E+09	1.39420457E+01	
2.03500000E+09	1.32886840E+01	
2.04000000E+09	1.26651308E+01	
2.04500000E+09	1.20703509E+01	
2.05000000E+09	1.15028929E+01	
2.05500000E+09	1.09617560E+01	
2.06000000E+09	1.04460114E+01	
2.06500000E+09	9.95431950E+00	
2.07000000E+09	9.48576055E+00	
2.07500000E+09	9.03933427E+00	
2.08000000E+09	8.61396865E+00	
2.08500000E+09	8.20894715E+00	
2.09000000E+09	7.82341289E+00	
2.09500000E+09	7.45638381E+00	
2.10000000E+09	7.10715775E+00	
2.10500000E+09	6.77486584E+00	
2.11000000E+09	6.45878395E+00	
2.11500000E+09	6.15835881E+00	
2.12000000E+09	5.87275871E+00	
2.12500000E+09	5.60129836E+00	
2.13000000E+09	5.34346965E+00	
2.13500000E+09	5.09851100E+00	
2.14000000E+09	4.86593621E+00	
2.14500000E+09	4.64521092E+00	
2.15000000E+09	4.43575858E+00	
2.15500000E+09	4.23709169E+00	
2.16000000E+09	4.04868555E+00	
2.16500000E+09	3.87005361E+00	
2.17000000E+09	3.70077661E+00	
2.17500000E+09	3.54039733E+00	
2.18000000E+09	3.38854475E+00	
2.18500000E+09	3.24477530E+00	
2.19000000E+09	3.10875266E+00	
2.19500000E+09	2.98009743E+00	
2.20000000E+09	2.85847472E+00	
2.20500000E+09	2.74350299E+00	
2.21000000E+09	2.63497191E+00	
2.21500000E+09	2.53252525E+00	
2.22000000E+09	2.43590220E+00	
2.22500000E+09	2.34485491E+00	
2.23000000E+09	2.25913252E+00	
2.23500000E+09	2.17852700E+00	
2.24000000E+09	2.10277955E+00	
2.24500000E+09	2.03178630E+00	
2.25000000E+09	1.96530856E+00	
2.25500000E+09	1.90321707E+00	
2.26000000E+09	1.84537142E+00	
2.26500000E+09	1.79166688E+00	
2.27000000E+09	1.74198841E+00	
2.27500000E+09	1.69626889E+00	
2.28000000E+09	1.65442877E+00	
2.28500000E+09	1.61643756E+00	
2.29000000E+09	1.58228798E+00	
2.29500000E+09	1.55192528E+00	
2.30000000E+09	1.52536287E+00	
2.30500000E+09	1.50256268E+00	
2.31000000E+09	1.48351469E+00	
2.31500000E+09	1.46818324E+00	
2.32000000E+09	1.45650505E+00	
2.32500000E+09	1.44838045E+00	
2.33000000E+09	1.44368459E+00	
2.33500000E+09	1.44221875E+00	
2.34000000E+09	1.44382152E+00	
2.34500000E+09	1.44822466E+00	
2.35000000E+09	1.45519497E+00	
2.35500000E+09	1.46446983E+00	
2.36000000E+09	1.47581296E+00	
2.36500000E+09	1.48894880E+00	
2.37000000E+09	1.50366071E+00	
2.37500000E+09	1.51971589E+00	
2.38000000E+09	1.53692605E+00	
2.38500000E+09	1.55509315E+00	
2.39000000E+09	1.57404321E+00	
2.39500000E+09	1.59364499E+00	
2.40000000E+09	1.61375219E+00	
2.40500000E+09	1.63425063E+00	
2.41000000E+09	1.65502301E+00	
2.41500000E+09	1.67598251E+00	
2.42000000E+09	1.69701934E+00	
2.42500000E+09	1.71807233E+00	
2.43000000E+09	1.73905623E+00	
2.43500000E+09	1.75990004E+00	
2.44000000E+09	1.78054148E+00	
2.44500000E+09	1.80093136E+00	
2.45000000E+09	1.82102974E+00	
2.45500000E+09	1.84075538E+00	
2.46000000E+09	1.86006638E+00	
2.46500000E+09	1.87894662E+00	
2.47000000E+09	1.89733079E+00	
2.47500000E+09	1.91519647E+00	
2.48000000E+09	1.93248690E+00	
2.48500000E+09	1.94920651E+00	
2.49000000E+09	1.96527902E+00	
2.49500000E+09	1.98069497E+00	
2.50000000E+09	1.99543312E+00	
2.50500000E+09	2.00944406E+00	
2.51000000E+09	2.02272413E+00	
2.51500000E+09	2.03523451E+00	
2.52000000E+09	2.04695724E+00	
2.52500000E+09	2.05786624E+00	
2.53000000E+09	2.06794836E+00	
2.53500000E+09	2.07718007E+00	
2.54000000E+09	2.08553288E+00	
2.54500000E+09	2.09300406E+00	
2.55000000E+09	2.09955683E+00	
2.55500000E+09	2.10518443E+00	
2.56000000E+09	2.10987391E+00	
2.56500000E+09	2.11359807E+00	
2.57000000E+09	2.11637190E+00	
2.57500000E+09	2.11814836E+00	
2.58000000E+09	2.11892741E+00	
2.58500000E+09	2.11868626E+00	
2.59000000E+09	2.11744826E+00	
2.59500000E+09	2.11516508E+00	
2.60000000E+09	2.11183330E+00	
2.60500000E+09	2.10746466E+00	
2.61000000E+09	2.10203397E+00	
2.61500000E+09	2.09551917E+00	
2.62000000E+09	2.08796163E+00	
2.62500000E+09	2.07931952E+00	
2.63000000E+09	2.06957127E+00	
2.63500000E+09	2.05875273E+00	
2.64000000E+09	2.04682487E+00	
2.64500000E+09	2.03383999E+00	
2.65000000E+09	2.01975209E+00	
2.65500000E+09	2.00455753E+00	
2.66000000E+09	1.98828705E+00	
2.66500000E+09	1.97093322E+00	
2.67000000E+09	1.95249493E+00	
2.67500000E+09	1.93296025E+00	
2.68000000E+09	1.91238502E+00	
2.68500000E+09	1.89072801E+00	
2.69000000E+09	1.86802922E+00	
2.69500000E+09	1.84429901E+00	
2.70000000E+09	1.81955097E+00	
