CharacteristicMode
"Frequency"[Hz]	"Mode index = 1  [deg]"	"Mode index = 2  [deg]"	
2.00000000E+09	2.56208230E+02	2.62342316E+02	
2.00500000E+09	2.55782602E+02	2.62186013E+02	
2.01000000E+09	2.55338104E+02	2.62025770E+02	
2.01500000E+09	2.54873555E+02	2.61861457E+02	
2.02000000E+09	2.54387645E+02	2.61692934E+02	
2.02500000E+09	2.53878928E+02	2.61520036E+02	
2.03000000E+09	2.53345889E+02	2.61342617E+02	
2.03500000E+09	2.52786985E+02	2.61160491E+02	
2.04000000E+09	2.52200262E+02	2.60973501E+02	
2.04500000E+09	2.51583877E+02	2.60781445E+02	
2.05000000E+09	2.50935530E+02	2.60584142E+02	
2.05500000E+09	2.50253057E+02	2.60381376E+02	
2.06000000E+09	2.49533751E+02	2.60172932E+02	
2.06500000E+09	2.48774975E+02	2.59958583E+02	
2.07000000E+09	2.47973549E+02	2.59738097E+02	
2.07500000E+09	2.47126181E+02	2.59511199E+02	
2.08000000E+09	2.46229203E+02	2.59277643E+02	
2.08500000E+09	2.45278549E+02	2.59037125E+02	
2.09000000E+09	2.44269819E+02	2.58789354E+02	
2.09500000E+09	2.43198258E+02	2.58534016E+02	
2.10000000E+09	2.42058567E+02	2.58270780E+02	
2.10500000E+09	2.40845034E+02	2.57999267E+02	
2.11000000E+09	2.39550989E+02	2.57719097E+02	
2.11500000E+09	2.38169983E+02	2.57429908E+02	
2.12000000E+09	2.36694466E+02	2.57131233E+02	
2.12500000E+09	2.35116495E+02	2.56822613E+02	
2.13000000E+09	2.33427171E+02	2.56503575E+02	
2.13500000E+09	2.31617706E+02	2.56173609E+02	
2.14000000E+09	2.29678525E+02	2.55832170E+02	
2.14500000E+09	2.27600029E+02	2.55478647E+02	
2.15000000E+09	2.25371920E+02	2.55112441E+02	
2.15500000E+09	2.22985031E+02	2.54732879E+02	
2.16000000E+09	2.20430357E+02	2.54339215E+02	
2.16500000E+09	2.17699830E+02	2.53930726E+02	
2.17000000E+09	2.14788600E+02	2.53506550E+02	
2.17500000E+09	2.11693278E+02	2.53065830E+02	
2.18000000E+09	2.08415603E+02	2.52607622E+02	
2.18500000E+09	2.04960392E+02	2.52130931E+02	
2.19000000E+09	2.01340128E+02	2.51634626E+02	
2.19500000E+09	1.97571825E+02	2.51117584E+02	
2.20000000E+09	1.93679321E+02	2.50578549E+02	
2.20500000E+09	1.89692110E+02	2.50016139E+02	
2.21000000E+09	1.85645231E+02	2.49428910E+02	
2.21500000E+09	1.81577653E+02	2.48815286E+02	
2.22000000E+09	1.77527425E+02	2.48173648E+02	
2.22500000E+09	1.73533081E+02	2.47502115E+02	
2.23000000E+09	1.69630087E+02	2.46798803E+02	
2.23500000E+09	1.65846824E+02	2.46061487E+02	
2.24000000E+09	1.62208860E+02	2.45287989E+02	
2.24500000E+09	1.58733609E+02	2.44475860E+02	
2.25000000E+09	1.55432593E+02	2.43622478E+02	
2.25500000E+09	1.52311602E+02	2.42725033E+02	
2.26000000E+09	1.49371636E+02	2.41780395E+02	
2.26500000E+09	1.46610338E+02	2.40785497E+02	
2.27000000E+09	1.44022056E+02	2.39736799E+02	
2.27500000E+09	1.41599564E+02	2.38630549E+02	
2.28000000E+09	1.39333878E+02	2.37463007E+02	
2.28500000E+09	1.37215519E+02	2.36229864E+02	
2.29000000E+09	1.35234384E+02	2.34926859E+02	
2.29500000E+09	1.33381597E+02	2.33549410E+02	
2.30000000E+09	1.31647200E+02	2.32093046E+02	
2.30500000E+09	1.30022431E+02	2.30552703E+02	
2.31000000E+09	1.28498661E+02	2.28923927E+02	
2.31500000E+09	1.27067921E+02	2.27201582E+02	
2.32000000E+09	1.25723131E+02	2.25381276E+02	
2.32500000E+09	1.24457799E+02	2.23459160E+02	
2.33000000E+09	1.23265468E+02	2.21431282E+02	
2.33500000E+09	1.22140547E+02	2.19294570E+02	
2.34000000E+09	1.21078126E+02	2.17047451E+02	
2.34500000E+09	1.20073463E+02	2.14688903E+02	
2.35000000E+09	1.19122555E+02	2.12220348E+02	
2.35500000E+09	1.18221345E+02	2.09643638E+02	
2.36000000E+09	1.17366431E+02	2.06964838E+02	
2.36500000E+09	1.16554939E+02	2.04190227E+02	
2.37000000E+09	1.15783769E+02	2.01329865E+02	
2.37500000E+09	1.15050526E+02	1.98395778E+02	
2.38000000E+09	1.14352742E+02	1.95402325E+02	
2.38500000E+09	1.13688527E+02	1.92365999E+02	
2.39000000E+09	1.13055702E+02	1.89304032E+02	
2.39500000E+09	1.12452613E+02	1.86236064E+02	
2.40000000E+09	1.11877791E+02	1.83180770E+02	
2.40500000E+09	1.11329540E+02	1.80156823E+02	
2.41000000E+09	1.10806628E+02	1.77181219E+02	
2.41500000E+09	1.10307772E+02	1.74270879E+02	
2.42000000E+09	1.09831869E+02	1.71439247E+02	
2.42500000E+09	1.09377614E+02	1.68697101E+02	
2.43000000E+09	1.08944266E+02	1.66054476E+02	
2.43500000E+09	1.08530724E+02	1.63517480E+02	
2.44000000E+09	1.08136077E+02	1.61090578E+02	
2.44500000E+09	1.07759527E+02	1.58776193E+02	
