Far field
"Frequency"[Hz]	"LHC [dBi]"	"RHC [dBi]"	
2.00000000E+09	6.35767490E+00	5.42125042E+00	
2.00500000E+09	6.43642560E+00	5.45428110E+00	
2.01000000E+09	6.51237209E+00	5.48219731E+00	
2.01500000E+09	6.58547423E+00	5.50480587E+00	
2.02000000E+09	6.65566676E+00	5.52193594E+00	
2.02500000E+09	6.72293717E+00	5.53342384E+00	
2.03000000E+09	6.78724055E+00	5.53909792E+00	
2.03500000E+09	6.84855239E+00	5.53881528E+00	
2.04000000E+09	6.90691558E+00	5.53243198E+00	
2.04500000E+09	6.96233448E+00	5.51981728E+00	
2.05000000E+09	7.01486891E+00	5.50083743E+00	
2.05500000E+09	7.06456596E+00	5.47538518E+00	
2.06000000E+09	7.11149382E+00	5.44337965E+00	
2.06500000E+09	7.15575203E+00	5.40469569E+00	
2.07000000E+09	7.19744684E+00	5.35926357E+00	
2.07500000E+09	7.23669237E+00	5.30699581E+00	
2.08000000E+09	7.27363886E+00	5.24780651E+00	
2.08500000E+09	7.30841023E+00	5.18164746E+00	
2.09000000E+09	7.34118634E+00	5.10848732E+00	
2.09500000E+09	7.37213203E+00	5.02822510E+00	
2.10000000E+09	7.40143437E+00	4.94084466E+00	
2.10500000E+09	7.42928569E+00	4.84626560E+00	
2.11000000E+09	7.45587116E+00	4.74442873E+00	
2.11500000E+09	7.48137532E+00	4.63533701E+00	
2.12000000E+09	7.50601629E+00	4.51889248E+00	
2.12500000E+09	7.52999949E+00	4.39502014E+00	
2.13000000E+09	7.55349601E+00	4.26369451E+00	
2.13500000E+09	7.57668609E+00	4.12473196E+00	
2.14000000E+09	7.59979671E+00	3.97814367E+00	
2.14500000E+09	7.62296214E+00	3.82381193E+00	
2.15000000E+09	7.64634753E+00	3.66159713E+00	
2.15500000E+09	7.67013221E+00	3.49142868E+00	
2.16000000E+09	7.69441061E+00	3.31309681E+00	
2.16500000E+09	7.71932592E+00	3.12645126E+00	
2.17000000E+09	7.74496099E+00	2.93134200E+00	
2.17500000E+09	7.77138076E+00	2.72753652E+00	
2.18000000E+09	7.79866109E+00	2.51491811E+00	
2.18500000E+09	7.82682335E+00	2.29318674E+00	
2.19000000E+09	7.85586226E+00	2.06217516E+00	
2.19500000E+09	7.88576644E+00	1.82162358E+00	
2.20000000E+09	7.91650248E+00	1.57132245E+00	
2.20500000E+09	7.94800060E+00	1.31089083E+00	
2.21000000E+09	7.98015501E+00	1.04033974E+00	
2.21500000E+09	8.01285787E+00	7.59305148E-01	
2.22000000E+09	8.04596818E+00	4.67649536E-01	
2.22500000E+09	8.07933657E+00	1.65299552E-01	
2.23000000E+09	8.11274258E+00	-1.47868991E-01	
2.23500000E+09	8.14600022E+00	-4.71727149E-01	
2.24000000E+09	8.17893732E+00	-8.06306994E-01	
2.24500000E+09	8.21123350E+00	-1.15094309E+00	
2.25000000E+09	8.24270896E+00	-1.50536571E+00	
2.25500000E+09	8.27307377E+00	-1.86867367E+00	
2.26000000E+09	8.30207187E+00	-2.23975619E+00	
2.26500000E+09	8.32942662E+00	-2.61699577E+00	
2.27000000E+09	8.35493682E+00	-2.99843302E+00	
2.27500000E+09	8.37823793E+00	-3.38148629E+00	
2.28000000E+09	8.39914776E+00	-3.76302612E+00	
2.28500000E+09	8.41743425E+00	-4.13899139E+00	
2.29000000E+09	8.43278657E+00	-4.50455041E+00	
2.29500000E+09	8.44508446E+00	-4.85466885E+00	
2.30000000E+09	8.45408448E+00	-5.18320388E+00	
2.30500000E+09	8.45961273E+00	-5.48428190E+00	
2.31000000E+09	8.46154275E+00	-5.75159844E+00	
2.31500000E+09	8.45974365E+00	-5.97948710E+00	
2.32000000E+09	8.45410433E+00	-6.16333719E+00	
2.32500000E+09	8.44457623E+00	-6.30006851E+00	
2.33000000E+09	8.43111180E+00	-6.38830432E+00	
2.33500000E+09	8.41366832E+00	-6.42927992E+00	
2.34000000E+09	8.39229817E+00	-6.42492436E+00	
2.34500000E+09	8.36701548E+00	-6.38009494E+00	
2.35000000E+09	8.33788893E+00	-6.29988163E+00	
2.35500000E+09	8.30496029E+00	-6.19035971E+00	
2.36000000E+09	8.26838523E+00	-6.05724606E+00	
2.36500000E+09	8.22823652E+00	-5.90681504E+00	
2.37000000E+09	8.18468266E+00	-5.74406540E+00	
2.37500000E+09	8.13785389E+00	-5.57385769E+00	
2.38000000E+09	8.08790299E+00	-5.39996371E+00	
2.38500000E+09	8.03500652E+00	-5.22581082E+00	
2.39000000E+09	7.97933540E+00	-5.05408956E+00	
