CharacteristicMode
"Frequency"[Hz]	"Mode index = 1  []"	"Mode index = 2  []"	
2.00000000E+09	2.38393958E-01	1.33254256E-01	
2.00500000E+09	2.45601757E-01	1.35957423E-01	
2.01000000E+09	2.53114624E-01	1.38727694E-01	
2.01500000E+09	2.60950089E-01	1.41567194E-01	
2.02000000E+09	2.69127512E-01	1.44478233E-01	
2.02500000E+09	2.77667982E-01	1.47463557E-01	
2.03000000E+09	2.86593296E-01	1.50525527E-01	
2.03500000E+09	2.95925044E-01	1.53667247E-01	
2.04000000E+09	3.05690944E-01	1.56891245E-01	
2.04500000E+09	3.15916039E-01	1.60200868E-01	
2.05000000E+09	3.26631854E-01	1.63599009E-01	
2.05500000E+09	3.37866500E-01	1.67089240E-01	
2.06000000E+09	3.49655554E-01	1.70675010E-01	
2.06500000E+09	3.62031753E-01	1.74360006E-01	
2.07000000E+09	3.75034590E-01	1.78147965E-01	
2.07500000E+09	3.88702976E-01	1.82043341E-01	
2.08000000E+09	4.03078893E-01	1.86050027E-01	
2.08500000E+09	4.18207180E-01	1.90172906E-01	
2.09000000E+09	4.34133673E-01	1.94416609E-01	
2.09500000E+09	4.50904684E-01	1.98786118E-01	
2.10000000E+09	4.68568777E-01	2.03286662E-01	
2.10500000E+09	4.87173396E-01	2.07924208E-01	
2.11000000E+09	5.06771375E-01	2.12704716E-01	
2.11500000E+09	5.27400975E-01	2.17633790E-01	
2.12000000E+09	5.49103548E-01	2.22718719E-01	
2.12500000E+09	5.71909740E-01	2.27966601E-01	
2.13000000E+09	5.95844088E-01	2.33384689E-01	
2.13500000E+09	6.20905567E-01	2.38980752E-01	
2.14000000E+09	6.47075586E-01	2.44763023E-01	
2.14500000E+09	6.74302018E-01	2.50740799E-01	
2.15000000E+09	7.02501920E-01	2.56922958E-01	
2.15500000E+09	7.31531857E-01	2.63319500E-01	
2.16000000E+09	7.61194810E-01	2.69941486E-01	
2.16500000E+09	7.91225347E-01	2.76799381E-01	
2.17000000E+09	8.21262748E-01	2.83905725E-01	
2.17500000E+09	8.50872757E-01	2.91272759E-01	
2.18000000E+09	8.79519020E-01	2.98913855E-01	
2.18500000E+09	9.06599722E-01	3.06842865E-01	
2.19000000E+09	9.31436590E-01	3.15075532E-01	
2.19500000E+09	9.53339244E-01	3.23627048E-01	
2.20000000E+09	9.71634535E-01	3.32514241E-01	
2.20500000E+09	9.85726663E-01	3.41755441E-01	
2.21000000E+09	9.95150055E-01	3.51369298E-01	
2.21500000E+09	9.99620929E-01	3.61375829E-01	
2.22000000E+09	9.99068985E-01	3.71794831E-01	
2.22500000E+09	9.93637050E-01	3.82649335E-01	
2.23000000E+09	9.83666130E-01	3.93961118E-01	
2.23500000E+09	9.69645498E-01	4.05756031E-01	
2.24000000E+09	9.52176651E-01	4.18057509E-01	
2.24500000E+09	9.31904143E-01	4.30891336E-01	
2.25000000E+09	9.09472762E-01	4.44283740E-01	
2.25500000E+09	8.85487735E-01	4.58261260E-01	
2.26000000E+09	8.60489927E-01	4.72852302E-01	
2.26500000E+09	8.34947174E-01	4.88080599E-01	
2.27000000E+09	8.09243202E-01	5.03972991E-01	
2.27500000E+09	7.83688736E-01	5.20554455E-01	
2.28000000E+09	7.58519783E-01	5.37844025E-01	
2.28500000E+09	7.33913874E-01	5.55862412E-01	
2.29000000E+09	7.09993467E-01	5.74621652E-01	
2.29500000E+09	6.86854106E-01	5.94129345E-01	
2.30000000E+09	6.64542019E-01	6.14380970E-01	
2.30500000E+09	6.43087457E-01	6.35368177E-01	
2.31000000E+09	6.22496346E-01	6.57060502E-01	
2.31500000E+09	6.02761340E-01	6.79421047E-01	
2.32000000E+09	5.83869008E-01	7.02385700E-01	
2.32500000E+09	5.65799072E-01	7.25864841E-01	
2.33000000E+09	5.48518974E-01	7.49749897E-01	
2.33500000E+09	5.31997936E-01	7.73900228E-01	
2.34000000E+09	5.16206397E-01	7.98136823E-01	
2.34500000E+09	5.01109977E-01	8.22254280E-01	
2.35000000E+09	4.86679308E-01	8.46003869E-01	
2.35500000E+09	4.72879051E-01	8.69118479E-01	
2.36000000E+09	4.59679550E-01	8.91284970E-01	
2.36500000E+09	4.47055728E-01	9.12190027E-01	
2.37000000E+09	4.34976036E-01	9.31501759E-01	
2.37500000E+09	4.23417313E-01	9.48899271E-01	
2.38000000E+09	4.12353150E-01	9.64084630E-01	
2.38500000E+09	4.01764418E-01	9.76799538E-01	
2.39000000E+09	3.91625844E-01	9.86844341E-01	
2.39500000E+09	3.81919198E-01	9.94082788E-01	
2.40000000E+09	3.72628099E-01	9.98459443E-01	
2.40500000E+09	3.63731540E-01	9.99996254E-01	
2.41000000E+09	3.55215103E-01	9.98790071E-01	
2.41500000E+09	3.47062872E-01	9.95004962E-01	
2.42000000E+09	3.39261209E-01	9.88858578E-01	
2.42500000E+09	3.31792581E-01	9.80604745E-01	
2.43000000E+09	3.24648253E-01	9.70525304E-01	
2.43500000E+09	3.17813137E-01	9.58906340E-01	
2.44000000E+09	3.11274877E-01	9.46032080E-01	
2.44500000E+09	3.05022664E-01	9.32173465E-01	
2.45000000E+09	2.99043418E-01	9.17575433E-01	
2.45500000E+09	2.93328269E-01	9.02466375E-01	
2.46000000E+09	2.87864103E-01	8.87040086E-01	
2.46500000E+09	2.82643767E-01	8.71466369E-01	
2.47000000E+09	2.77654638E-01	8.55886121E-01	
2.47500000E+09	2.72886039E-01	8.40412085E-01	
2.48000000E+09	2.68331237E-01	8.25147825E-01	
2.48500000E+09	2.63980107E-01	8.10159853E-01	
2.49000000E+09	2.59823187E-01	7.95509475E-01	
2.49500000E+09	2.55851999E-01	7.81238204E-01	
2.50000000E+09	2.52058829E-01	7.67377978E-01	
2.50500000E+09	2.48434142E-01	7.53946498E-01	
2.51000000E+09	2.44972473E-01	7.40959369E-01	
2.51500000E+09	2.41663630E-01	7.28418479E-01	
2.52000000E+09	2.38502163E-01	7.16325354E-01	
2.52500000E+09	2.35480359E-01	7.04678437E-01	
2.53000000E+09	2.32592874E-01	6.93466626E-01	
2.53500000E+09	2.29831510E-01	6.82679942E-01	
2.54000000E+09	2.27191467E-01	6.72309192E-01	
2.54500000E+09	2.24666554E-01	6.62340508E-01	
2.55000000E+09	2.22251244E-01	6.52759903E-01	
2.55500000E+09	2.19940346E-01	6.43554144E-01	
2.56000000E+09	2.17728362E-01	6.34707257E-01	
2.56500000E+09	2.15611514E-01	6.26206744E-01	
2.57000000E+09	2.13583931E-01	6.18034207E-01	
2.57500000E+09	2.11642271E-01	6.10180537E-01	
2.58000000E+09	2.09781759E-01	6.02628141E-01	
2.58500000E+09	2.07999623E-01	5.95366000E-01	
2.59000000E+09	2.06290591E-01	5.88379643E-01	
2.59500000E+09	2.04652493E-01	5.81657026E-01	
2.60000000E+09	2.03081207E-01	5.75187617E-01	
2.60500000E+09	2.01573966E-01	5.68958465E-01	
2.61000000E+09	2.00127576E-01	5.62957500E-01	
2.61500000E+09	1.98739395E-01	5.57177300E-01	
2.62000000E+09	1.97406144E-01	5.51605196E-01	
2.62500000E+09	1.96126282E-01	5.46233221E-01	
2.63000000E+09	1.94897019E-01	5.41053540E-01	
2.63500000E+09	1.93715183E-01	5.36054051E-01	
2.64000000E+09	1.92580038E-01	5.31229234E-01	
2.64500000E+09	1.91488430E-01	5.26571517E-01	
2.65000000E+09	1.90439082E-01	5.22072365E-01	
2.65500000E+09	1.89429877E-01	5.17726065E-01	
2.66000000E+09	1.88459126E-01	5.13525224E-01	
2.66500000E+09	1.87525317E-01	5.09464098E-01	
2.67000000E+09	1.86626366E-01	5.05535857E-01	
2.67500000E+09	1.85761354E-01	5.01735980E-01	
2.68000000E+09	1.84928313E-01	4.98058623E-01	
2.68500000E+09	1.84126343E-01	4.94498364E-01	
2.69000000E+09	1.83354172E-01	4.91051797E-01	
2.69500000E+09	1.82610523E-01	4.87711951E-01	
2.70000000E+09	1.81893877E-01	4.84476742E-01	
