CharacteristicMode
"Frequency"[Hz]	"Mode index = 1  []"	"Mode index = 2  []"	
2.00000000E+09	1.56219925E-02	1.61152670E-02	
2.00500000E+09	1.62603750E-02	1.64484346E-02	
2.01000000E+09	1.69321482E-02	1.67903412E-02	
2.01500000E+09	1.76395735E-02	1.71412945E-02	
2.02000000E+09	1.83851134E-02	1.75016366E-02	
2.02500000E+09	1.91715117E-02	1.78717085E-02	
2.03000000E+09	2.00015320E-02	1.82518551E-02	
2.03500000E+09	2.08780114E-02	1.86424975E-02	
2.04000000E+09	2.18044823E-02	1.90440094E-02	
2.04500000E+09	2.27843827E-02	1.94568634E-02	
2.05000000E+09	2.38217115E-02	1.98814308E-02	
2.05500000E+09	2.49206531E-02	2.03182195E-02	
2.06000000E+09	2.60856660E-02	2.07676715E-02	
2.06500000E+09	2.73217738E-02	2.12303551E-02	
2.07000000E+09	2.86340695E-02	2.17067910E-02	
2.07500000E+09	3.00284501E-02	2.21975503E-02	
2.08000000E+09	3.15109863E-02	2.27031723E-02	
2.08500000E+09	3.30884038E-02	2.32243400E-02	
2.09000000E+09	3.47678039E-02	2.37616755E-02	
2.09500000E+09	3.65563419E-02	2.43159107E-02	
2.10000000E+09	3.84623006E-02	2.48877102E-02	
2.10500000E+09	4.04935650E-02	2.54778502E-02	
2.11000000E+09	4.26597996E-02	2.60872144E-02	
2.11500000E+09	4.49689219E-02	2.67165006E-02	
2.12000000E+09	4.74299444E-02	2.73667710E-02	
2.12500000E+09	5.00512212E-02	2.80389009E-02	
2.13000000E+09	5.28417303E-02	2.87338256E-02	
2.13500000E+09	5.58075086E-02	2.94526226E-02	
2.14000000E+09	5.89535711E-02	3.01963608E-02	
2.14500000E+09	6.22820882E-02	3.09663140E-02	
2.15000000E+09	6.57933988E-02	3.17635414E-02	
2.15500000E+09	6.94804154E-02	3.25894128E-02	
2.16000000E+09	7.33313398E-02	3.34452899E-02	
2.16500000E+09	7.73270391E-02	3.43324913E-02	
2.17000000E+09	8.14371682E-02	3.52526995E-02	
2.17500000E+09	8.56225719E-02	3.62072986E-02	
2.18000000E+09	8.98306423E-02	3.71979999E-02	
2.18500000E+09	9.39995552E-02	3.82266289E-02	
2.19000000E+09	9.80545670E-02	3.92949050E-02	
2.19500000E+09	1.01915811E-01	4.04047058E-02	
2.20000000E+09	1.05499695E-01	4.15579909E-02	
2.20500000E+09	1.08726447E-01	4.27569805E-02	
2.21000000E+09	1.11525455E-01	4.40037056E-02	
2.21500000E+09	1.13841233E-01	4.53004998E-02	
2.22000000E+09	1.15641807E-01	4.66495328E-02	
2.22500000E+09	1.16916269E-01	4.80531958E-02	
2.23000000E+09	1.17677538E-01	4.95138439E-02	
2.23500000E+09	1.17959604E-01	5.10342425E-02	
2.24000000E+09	1.17809117E-01	5.26165329E-02	
2.24500000E+09	1.17285038E-01	5.42633598E-02	
2.25000000E+09	1.16449287E-01	5.59769746E-02	
2.25500000E+09	1.15363152E-01	5.77598438E-02	
2.26000000E+09	1.14085250E-01	5.96141129E-02	
2.26500000E+09	1.12667681E-01	6.15414958E-02	
2.27000000E+09	1.11154833E-01	6.35438264E-02	
2.27500000E+09	1.09585031E-01	6.56223474E-02	
2.28000000E+09	1.07987745E-01	6.77775311E-02	
2.28500000E+09	1.06387607E-01	7.00097201E-02	
2.29000000E+09	1.04803365E-01	7.23173364E-02	
2.29500000E+09	1.03248216E-01	7.46989391E-02	
2.30000000E+09	1.01732038E-01	7.71504617E-02	
2.30500000E+09	1.00261309E-01	7.96672938E-02	
2.31000000E+09	9.88395317E-02	8.22419325E-02	
2.31500000E+09	9.74687294E-02	8.48655548E-02	
2.32000000E+09	9.61493036E-02	8.75252173E-02	
2.32500000E+09	9.48803032E-02	9.02056086E-02	
2.33000000E+09	9.36596062E-02	9.28878830E-02	
2.33500000E+09	9.24849513E-02	9.55496866E-02	
2.34000000E+09	9.13533265E-02	9.81639135E-02	
2.34500000E+09	9.02616754E-02	1.00700751E-01	
2.35000000E+09	8.92067695E-02	1.03124594E-01	
2.35500000E+09	8.81848621E-02	1.05399645E-01	
2.36000000E+09	8.71924076E-02	1.07484308E-01	
2.36500000E+09	8.62266920E-02	1.09339005E-01	
2.37000000E+09	8.52839507E-02	1.10923055E-01	
2.37500000E+09	8.43617236E-02	1.12198583E-01	
2.38000000E+09	8.34567716E-02	1.13133022E-01	
2.38500000E+09	8.25670209E-02	1.13700103E-01	
2.39000000E+09	8.16898182E-02	1.13882665E-01	
2.39500000E+09	8.08233596E-02	1.13671543E-01	
2.40000000E+09	7.99662572E-02	1.13071165E-01	
2.40500000E+09	7.91165635E-02	1.12093873E-01	
2.41000000E+09	7.82735936E-02	1.10761796E-01	
2.41500000E+09	7.74361983E-02	1.09105953E-01	
2.42000000E+09	7.66041249E-02	1.07161982E-01	
2.42500000E+09	7.57765821E-02	1.04969616E-01	
2.43000000E+09	7.49538761E-02	1.02571629E-01	
2.43500000E+09	7.41359020E-02	1.00009068E-01	
2.44000000E+09	7.33228828E-02	9.73214443E-02	
2.44500000E+09	7.25151579E-02	9.45466322E-02	
2.45000000E+09	7.17131985E-02	9.17171870E-02	
2.45500000E+09	7.09178933E-02	8.88627864E-02	
2.46000000E+09	7.01293753E-02	8.60087292E-02	
2.46500000E+09	6.93490322E-02	8.31763520E-02	
2.47000000E+09	6.85770560E-02	8.03827931E-02	
2.47500000E+09	6.78141681E-02	7.76406740E-02	
2.48000000E+09	6.70613495E-02	7.49633932E-02	
2.48500000E+09	6.63192351E-02	7.23573440E-02	
2.49000000E+09	6.55883680E-02	6.98289382E-02	
2.49500000E+09	6.48693611E-02	6.73818604E-02	
2.50000000E+09	6.41628153E-02	6.50192122E-02	
2.50500000E+09	6.34689214E-02	6.27414435E-02	
2.51000000E+09	6.27885876E-02	6.05489157E-02	
2.51500000E+09	6.21215219E-02	5.84410688E-02	
2.52000000E+09	6.14684016E-02	5.64163078E-02	
2.52500000E+09	6.08292389E-02	5.44730355E-02	
2.53000000E+09	6.02044103E-02	5.26090979E-02	
2.53500000E+09	5.95937015E-02	5.08215902E-02	
2.54000000E+09	5.89973371E-02	4.91083045E-02	
2.54500000E+09	5.84152130E-02	4.74666384E-02	
2.55000000E+09	5.78472754E-02	4.58935544E-02	
2.55500000E+09	5.72934543E-02	4.43862112E-02	
2.56000000E+09	5.67534775E-02	4.29416707E-02	
2.56500000E+09	5.62273989E-02	4.15577120E-02	
2.57000000E+09	5.57147630E-02	4.02308159E-02	
2.57500000E+09	5.52154916E-02	3.89591820E-02	
2.58000000E+09	5.47292180E-02	3.77396798E-02	
2.58500000E+09	5.42559432E-02	3.65704268E-02	
2.59000000E+09	5.37950277E-02	3.54484530E-02	
2.59500000E+09	5.33465020E-02	3.43720040E-02	
2.60000000E+09	5.29098645E-02	3.33386993E-02	
2.60500000E+09	5.24849172E-02	3.23465355E-02	
2.61000000E+09	5.20713239E-02	3.13934068E-02	
2.61500000E+09	5.16687962E-02	3.04776684E-02	
2.62000000E+09	5.12769136E-02	2.95973043E-02	
2.62500000E+09	5.08956104E-02	2.87508144E-02	
2.63000000E+09	5.05244673E-02	2.79367064E-02	
2.63500000E+09	5.01630088E-02	2.71529517E-02	
2.64000000E+09	4.98112531E-02	2.63986775E-02	
2.64500000E+09	4.94686696E-02	2.56721787E-02	
2.65000000E+09	4.91351116E-02	2.49722930E-02	
2.65500000E+09	4.88102629E-02	2.42976804E-02	
2.66000000E+09	4.84938523E-02	2.36472835E-02	
2.66500000E+09	4.81856522E-02	2.30199716E-02	
2.67000000E+09	4.78852729E-02	2.24146528E-02	
2.67500000E+09	4.75926325E-02	2.18303590E-02	
2.68000000E+09	4.73073208E-02	2.12660840E-02	
2.68500000E+09	4.70292318E-02	2.07208854E-02	
2.69000000E+09	4.67581241E-02	2.01942185E-02	
2.69500000E+09	4.64937686E-02	1.96849822E-02	
2.70000000E+09	4.62358587E-02	1.91924945E-02	
