S-parameter
"Frequency"[Hz]	"SParameter_port_1_port_1 [dB]"	
2.00000000E+09	-7.05058484E-01	
2.00500000E+09	-7.27817333E-01	
2.01000000E+09	-7.52625003E-01	
2.01500000E+09	-7.79690021E-01	
2.02000000E+09	-8.09233263E-01	
2.02500000E+09	-8.41503356E-01	
2.03000000E+09	-8.76772123E-01	
2.03500000E+09	-9.15331611E-01	
2.04000000E+09	-9.57535470E-01	
2.04500000E+09	-1.00375287E+00	
2.05000000E+09	-1.05441701E+00	
2.05500000E+09	-1.10999879E+00	
2.06000000E+09	-1.17099938E+00	
2.06500000E+09	-1.23803381E+00	
2.07000000E+09	-1.31173347E+00	
2.07500000E+09	-1.39286341E+00	
2.08000000E+09	-1.48222430E+00	
2.08500000E+09	-1.58071525E+00	
2.09000000E+09	-1.68935642E+00	
2.09500000E+09	-1.80927588E+00	
2.10000000E+09	-1.94170277E+00	
2.10500000E+09	-2.08804367E+00	
2.11000000E+09	-2.24988318E+00	
2.11500000E+09	-2.42877654E+00	
2.12000000E+09	-2.62666398E+00	
2.12500000E+09	-2.84557814E+00	
2.13000000E+09	-3.08766532E+00	
2.13500000E+09	-3.35542569E+00	
2.14000000E+09	-3.65130775E+00	
2.14500000E+09	-3.97805086E+00	
2.15000000E+09	-4.33860177E+00	
2.15500000E+09	-4.73613841E+00	
2.16000000E+09	-5.17367235E+00	
2.16500000E+09	-5.65493217E+00	
2.17000000E+09	-6.18329304E+00	
2.17500000E+09	-6.76258962E+00	
2.18000000E+09	-7.39629226E+00	
2.18500000E+09	-8.08860679E+00	
2.19000000E+09	-8.84300660E+00	
2.19500000E+09	-9.66388523E+00	
2.20000000E+09	-1.05540037E+01	
2.20500000E+09	-1.15171406E+01	
2.21000000E+09	-1.25525098E+01	
2.21500000E+09	-1.36586592E+01	
2.22000000E+09	-1.48248181E+01	
2.22500000E+09	-1.60297876E+01	
2.23000000E+09	-1.72302447E+01	
2.23500000E+09	-1.83556664E+01	
2.24000000E+09	-1.93036698E+01	
2.24500000E+09	-1.99702734E+01	
2.25000000E+09	-2.02950906E+01	
2.25500000E+09	-2.03022697E+01	
2.26000000E+09	-2.00846826E+01	
2.26500000E+09	-1.97502404E+01	
2.27000000E+09	-1.93850614E+01	
2.27500000E+09	-1.90453169E+01	
2.28000000E+09	-1.87608036E+01	
2.28500000E+09	-1.85469536E+01	
2.29000000E+09	-1.84094230E+01	
2.29500000E+09	-1.83484253E+01	
2.30000000E+09	-1.83607574E+01	
2.30500000E+09	-1.84399865E+01	
2.31000000E+09	-1.85760959E+01	
2.31500000E+09	-1.87549438E+01	
2.32000000E+09	-1.89549078E+01	
2.32500000E+09	-1.91469139E+01	
2.33000000E+09	-1.92914721E+01	
2.33500000E+09	-1.93441385E+01	
2.34000000E+09	-1.92612899E+01	
2.34500000E+09	-1.90119884E+01	
2.35000000E+09	-1.85899244E+01	
2.35500000E+09	-1.80144460E+01	
2.36000000E+09	-1.73227320E+01	
2.36500000E+09	-1.65576359E+01	
2.37000000E+09	-1.57576656E+01	
2.37500000E+09	-1.49531955E+01	
2.38000000E+09	-1.41641047E+01	
2.38500000E+09	-1.34040898E+01	
2.39000000E+09	-1.26801780E+01	
2.39500000E+09	-1.19963862E+01	
2.40000000E+09	-1.13538348E+01	
2.40500000E+09	-1.07521426E+01	
2.41000000E+09	-1.01899998E+01	
2.41500000E+09	-9.66579715E+00	
2.42000000E+09	-9.17730046E+00	
2.42500000E+09	-8.72245344E+00	
2.43000000E+09	-8.29888230E+00	
2.43500000E+09	-7.90455981E+00	
2.44000000E+09	-7.53739802E+00	
2.44500000E+09	-7.19540274E+00	
2.45000000E+09	-6.87663312E+00	
2.45500000E+09	-6.57935782E+00	
2.46000000E+09	-6.30216351E+00	
2.46500000E+09	-6.04323250E+00	
2.47000000E+09	-5.80145029E+00	
2.47500000E+09	-5.57523138E+00	
2.48000000E+09	-5.36365884E+00	
2.48500000E+09	-5.16538143E+00	
2.49000000E+09	-4.97955233E+00	
2.49500000E+09	-4.80519437E+00	
2.50000000E+09	-4.64143692E+00	
2.50500000E+09	-4.48743813E+00	
2.51000000E+09	-4.34256791E+00	
2.51500000E+09	-4.20606608E+00	
2.52000000E+09	-4.07734587E+00	
2.52500000E+09	-3.95579021E+00	
2.53000000E+09	-3.84095790E+00	
2.53500000E+09	-3.73234663E+00	
2.54000000E+09	-3.62941151E+00	
2.54500000E+09	-3.53190185E+00	
2.55000000E+09	-3.43934270E+00	
2.55500000E+09	-3.35138962E+00	
2.56000000E+09	-3.26774769E+00	
2.56500000E+09	-3.18810156E+00	
2.57000000E+09	-3.11216243E+00	
2.57500000E+09	-3.03972170E+00	
2.58000000E+09	-2.97047182E+00	
2.58500000E+09	-2.90424013E+00	
2.59000000E+09	-2.84087885E+00	
2.59500000E+09	-2.78009022E+00	
2.60000000E+09	-2.72176740E+00	
2.60500000E+09	-2.66572308E+00	
2.61000000E+09	-2.61182641E+00	
2.61500000E+09	-2.55994188E+00	
2.62000000E+09	-2.50992032E+00	
2.62500000E+09	-2.46162967E+00	
2.63000000E+09	-2.41502047E+00	
2.63500000E+09	-2.36994205E+00	
2.64000000E+09	-2.32629721E+00	
2.64500000E+09	-2.28402017E+00	
2.65000000E+09	-2.24301423E+00	
2.65500000E+09	-2.20323991E+00	
2.66000000E+09	-2.16460208E+00	
2.66500000E+09	-2.12703553E+00	
2.67000000E+09	-2.09050619E+00	
2.67500000E+09	-2.05497280E+00	
2.68000000E+09	-2.02036406E+00	
2.68500000E+09	-1.98665455E+00	
2.69000000E+09	-1.95381397E+00	
2.69500000E+09	-1.92181052E+00	
2.70000000E+09	-1.89065051E+00	
