CharacteristicMode
"Frequency"[Hz]	"Mode index = 1  []"	"Mode index = 2  []"	"Mode index = 3  []"	"Mode index = 4  []"	"Mode index = 5  []"	"Mode index = 6  []"	
7.00000000E+08	-5.32230332E+00	6.23109866E+00	6.49721178E+01	-1.00272259E+02	-1.03418159E+02	1.59845259E+02	
7.05000000E+08	-4.96065112E+00	6.22661977E+00	6.30627278E+01	-9.01935397E+01	-9.78269652E+01	1.73402667E+02	
7.10000000E+08	-4.61506622E+00	6.21978061E+00	6.12265116E+01	-8.09550823E+01	-9.25593782E+01	1.86459770E+02	
7.15000000E+08	-4.28472810E+00	6.21076803E+00	5.94602406E+01	-7.25910047E+01	-8.75947886E+01	1.98470086E+02	
7.20000000E+08	-3.96884859E+00	6.19976821E+00	5.77606805E+01	-6.51000474E+01	-8.29141448E+01	2.09022446E+02	
7.25000000E+08	-3.66668779E+00	6.18691759E+00	5.61247402E+01	-5.84473407E+01	-7.84997004E+01	2.17854822E+02	
7.30000000E+08	-3.37754450E+00	6.17238585E+00	5.45496078E+01	-5.25737166E+01	-7.43348734E+01	2.24882680E+02	
7.35000000E+08	-3.10076554E+00	6.15631168E+00	5.30325371E+01	-4.74052215E+01	-7.04041847E+01	2.30140532E+02	
7.40000000E+08	-2.83571936E+00	6.13882355E+00	5.15709891E+01	-4.28614264E+01	-6.66932981E+01	2.33733331E+02	
7.45000000E+08	-2.58182651E+00	6.12003776E+00	5.01624938E+01	-3.88648329E+01	-6.31887969E+01	2.35826412E+02	
7.50000000E+08	-2.33852261E+00	6.10007769E+00	4.88047428E+01	-3.53429650E+01	-5.98781306E+01	2.36598548E+02	
7.55000000E+08	-2.10528445E+00	6.07904560E+00	4.74954638E+01	-3.22310938E+01	-5.67496004E+01	2.36226868E+02	
7.60000000E+08	-1.88160709E+00	6.05705188E+00	4.62326855E+01	-2.94727734E+01	-5.37922551E+01	2.34886885E+02	
7.65000000E+08	-1.66703043E+00	6.03417427E+00	4.50142988E+01	-2.70192953E+01	-5.09959144E+01	2.32735263E+02	
7.70000000E+08	-1.46109664E+00	6.01050508E+00	4.38384896E+01	-2.48291079E+01	-4.83510543E+01	2.29908829E+02	
7.75000000E+08	-1.26339614E+00	5.98613594E+00	4.27034551E+01	-2.28668340E+01	-4.58486853E+01	2.26538302E+02	
7.80000000E+08	-1.07351901E+00	5.96113480E+00	4.16074370E+01	-2.11025454E+01	-4.34804721E+01	2.22725686E+02	
7.85000000E+08	-8.91096332E-01	5.93557191E+00	4.05488440E+01	-1.95108225E+01	-4.12386168E+01	2.18564212E+02	
7.90000000E+08	-7.15767964E-01	5.90952263E+00	3.95261401E+01	-1.80700015E+01	-3.91157733E+01	2.14132797E+02	
7.95000000E+08	-5.47192736E-01	5.88304594E+00	3.85378312E+01	-1.67617491E+01	-3.71050566E+01	2.09499706E+02	
8.00000000E+08	-3.85057298E-01	5.85619521E+00	3.75825089E+01	-1.55703648E+01	-3.52000682E+01	2.04718919E+02	
8.05000000E+08	-2.29055801E-01	5.82903197E+00	3.66588626E+01	-1.44823594E+01	-3.33947820E+01	1.99841619E+02	
8.10000000E+08	-7.89042191E-02	5.80161395E+00	3.57656143E+01	-1.34861462E+01	-3.16835239E+01	1.94905981E+02	
8.15000000E+08	6.56715749E-02	5.77397719E+00	3.49015103E+01	-1.25717338E+01	-3.00609848E+01	1.89943543E+02	
8.20000000E+08	2.04920471E-01	5.74617489E+00	3.40654391E+01	-1.17304640E+01	-2.85222027E+01	1.84985000E+02	
8.25000000E+08	3.39084416E-01	5.71824338E+00	3.32562852E+01	-1.09548573E+01	-2.70625002E+01	1.80053361E+02	
8.30000000E+08	4.68391661E-01	5.69022794E+00	3.24729764E+01	-1.02383034E+01	-2.56774799E+01	1.75165299E+02	
8.35000000E+08	5.93061611E-01	5.66216605E+00	3.17145257E+01	-9.57503776E+00	-2.43630000E+01	1.70338847E+02	
8.40000000E+08	7.13293958E-01	5.63409151E+00	3.09799766E+01	-8.96004016E+00	-2.31152101E+01	1.65585219E+02	
8.45000000E+08	8.29277503E-01	5.60603266E+00	3.02683965E+01	-8.38881248E+00	-2.19304423E+01	1.60914548E+02	
8.50000000E+08	9.41191360E-01	5.57802379E+00	2.95789051E+01	-7.85743554E+00	-2.08052793E+01	1.56335179E+02	
8.55000000E+08	1.04921425E+00	5.55009924E+00	2.89106950E+01	-7.36240797E+00	-1.97364862E+01	1.51854230E+02	
8.60000000E+08	1.15349352E+00	5.52227247E+00	2.82629267E+01	-6.90059692E+00	-1.87210312E+01	1.47474729E+02	
8.65000000E+08	1.25419359E+00	5.49458568E+00	2.76348644E+01	-6.46919407E+00	-1.77560493E+01	1.43201186E+02	
8.70000000E+08	1.35144930E+00	5.46705310E+00	2.70257859E+01	-6.06573155E+00	-1.68388504E+01	1.39035454E+02	
8.75000000E+08	1.44539763E+00	5.43969893E+00	2.64349511E+01	-5.68795685E+00	-1.59668922E+01	1.34978882E+02	
8.80000000E+08	1.53616338E+00	5.41253812E+00	2.58617134E+01	-5.33384752E+00	-1.51377947E+01	1.31032324E+02	
8.85000000E+08	1.62387488E+00	5.38560570E+00	2.53054381E+01	-5.00156690E+00	-1.43492939E+01	1.27195593E+02	
8.90000000E+08	1.70862690E+00	5.35890318E+00	2.47654998E+01	-4.68949799E+00	-1.35992732E+01	1.23468598E+02	
