CharacteristicMode
"Frequency"[Hz]	"Mode index = 1  []"	"Mode index = 2  []"	"Mode index = 3  []"	"Mode index = 4  []"	"Mode index = 5  []"	"Mode index = 6  []"	
7.00000000E+08	1.84657447E-01	1.58457732E-01	1.53893949E-02	9.97235210E-03	9.66902977E-03	6.25592801E-03	
7.05000000E+08	1.97611250E-01	1.58568848E-01	1.58552339E-02	1.10865872E-02	1.02215964E-02	5.76682811E-03	
7.10000000E+08	2.11767301E-01	1.58738816E-01	1.63306159E-02	1.23515867E-02	1.08032450E-02	5.36301004E-03	
7.15000000E+08	2.27279214E-01	1.58963349E-01	1.68155830E-02	1.37745046E-02	1.14154604E-02	5.03847872E-03	
7.20000000E+08	2.44326059E-01	1.59238241E-01	1.73102214E-02	1.53591600E-02	1.20597912E-02	4.78412044E-03	
7.25000000E+08	2.63115995E-01	1.59560577E-01	1.78146269E-02	1.71069146E-02	1.27378686E-02	4.59016448E-03	
7.30000000E+08	2.83891564E-01	1.59926636E-01	1.83288580E-02	1.90174714E-02	1.34514190E-02	4.44671912E-03	
7.35000000E+08	3.06934126E-01	1.60333484E-01	1.88529971E-02	2.10900308E-02	1.42022686E-02	4.34513013E-03	
7.40000000E+08	3.32571062E-01	1.60778448E-01	1.93871025E-02	2.33246540E-02	1.49923251E-02	4.27834080E-03	
7.45000000E+08	3.61177311E-01	1.61259152E-01	1.99312530E-02	2.57216889E-02	1.58236087E-02	4.24036902E-03	
7.50000000E+08	3.93180434E-01	1.61773021E-01	2.04855121E-02	2.82828552E-02	1.66982597E-02	4.22653087E-03	
7.55000000E+08	4.29053274E-01	1.62317996E-01	2.10499771E-02	3.10110184E-02	1.76185343E-02	4.23318080E-03	
7.60000000E+08	4.69300243E-01	1.62891777E-01	2.16246612E-02	3.39101066E-02	1.85868254E-02	4.25732981E-03	
7.65000000E+08	5.14413197E-01	1.63492877E-01	2.22096836E-02	3.69852655E-02	1.96056449E-02	4.29668782E-03	
7.70000000E+08	5.64800206E-01	1.64119399E-01	2.28050724E-02	4.02426836E-02	2.06776503E-02	4.34950909E-03	
7.75000000E+08	6.20630983E-01	1.64769415E-01	2.34108909E-02	4.36897015E-02	2.18056902E-02	4.41422157E-03	
7.80000000E+08	6.81607190E-01	1.65441585E-01	2.40272263E-02	4.73345312E-02	2.29927501E-02	4.48978265E-03	
