CharacteristicMode
"Frequency"[Hz]	"Mode index = 1  []"	"Mode index = 2  []"	"Mode index = 3  []"	"Mode index = 4  []"	"Mode index = 5  []"	"Mode index = 6  []"	"Mode index = 7  []"	"Mode index = 8  []"	"Mode index = 9  []"	"Mode index = 10  []"	
7.00000000E+08	2.65139607E-02	6.41315192E-06	6.62671404E-08	4.01040663E-03	9.29811583E-06	6.56255716E-04	4.53624827E-04	2.16111194E-05	6.06607321E-08	1.21659603E-08	
7.05000000E+08	2.87877002E-02	6.62316061E-06	6.45277206E-08	4.51724446E-03	3.66059662E-06	4.86297418E-04	4.61567908E-04	2.50866594E-05	6.17286418E-08	2.61770119E-08	
7.10000000E+08	3.12937956E-02	6.75377571E-06	5.73718493E-08	5.07199865E-03	2.25767556E-06	3.55259917E-04	4.53637933E-04	2.90554533E-05	6.32758771E-08	5.08055143E-08	
7.15000000E+08	3.40628153E-02	6.89795847E-06	4.01057240E-08	5.67082526E-03	1.53457558E-06	2.56921077E-04	4.28876159E-04	3.35439549E-05	3.53776392E-08	1.08116692E-07	
7.20000000E+08	3.71306457E-02	7.10686337E-06	4.52762788E-08	6.30967883E-03	1.18311928E-06	1.84479152E-04	3.88349787E-04	3.85502397E-05	NaN	5.94266676E-07	
7.25000000E+08	4.05390371E-02	7.28696855E-06	4.18576237E-08	6.98495118E-03	9.21317489E-07	1.31740379E-04	3.34430283E-04	4.41054295E-05	NaN	2.98888624E-07	
7.30000000E+08	4.43369430E-02	7.48247575E-06	3.20439880E-08	7.69380567E-03	6.83169814E-07	9.35016561E-05	2.70116733E-04	5.01454959E-05	NaN	1.67141951E-07	
7.35000000E+08	4.85813413E-02	7.63282817E-06	3.23695414E-08	8.43417457E-03	5.64526947E-07	6.57754109E-05	1.98243164E-04	5.66237637E-05	NaN	1.21862240E-07	
7.40000000E+08	5.33391333E-02	7.83222260E-06	3.12645169E-08	9.20488367E-03	4.35708372E-07	4.56372052E-05	1.21085685E-04	6.34793987E-05	NaN	1.08088343E-07	
7.45000000E+08	5.86874193E-02	8.02086305E-06	2.33397824E-08	1.00051349E-02	3.37509465E-07	3.09546883E-05	4.04007785E-05	7.06544414E-05	NaN	9.75340729E-08	
7.50000000E+08	6.47152169E-02	8.17430193E-06	1.86045508E-08	1.08346465E-02	2.47449916E-07	2.02223866E-05	4.26272941E-05	7.80690739E-05	NaN	9.35864115E-08	
7.55000000E+08	7.15225235E-02	8.40681094E-06	2.43976532E-08	1.16934359E-02	1.61063501E-07	1.23775302E-05	1.27227543E-04	8.56536129E-05	NaN	8.60444185E-08	
7.60000000E+08	7.92185162E-02	8.60677288E-06	1.54898778E-08	1.25817267E-02	7.11946618E-08	6.65340263E-06	2.12953830E-04	9.33196709E-05	NaN	8.84796511E-08	
7.65000000E+08	8.79141821E-02	8.78525814E-06	1.25908526E-08	1.34999268E-02	8.26034181E-09	2.51278186E-06	2.99600434E-04	1.01029125E-04	NaN	9.15616062E-08	
7.70000000E+08	9.77099500E-02	9.01609050E-06	1.18895394E-08	1.44485364E-02	6.47456716E-08	4.31004731E-07	3.87132330E-04	1.08740012E-04	NaN	9.03564599E-08	
7.75000000E+08	1.08667531E-01	9.23554631E-06	9.17670835E-09	1.54282818E-02	1.38702912E-07	2.46822956E-06	4.75563303E-04	1.16355368E-04	NaN	9.34867795E-08	
7.80000000E+08	1.20766729E-01	9.49881981E-06	7.89891560E-09	1.64398583E-02	2.17245758E-07	3.79897428E-06	5.65034513E-04	1.23848593E-04	NaN	9.79164218E-08	
7.85000000E+08	1.33833520E-01	9.70986367E-06	3.21110551E-09	1.74840703E-02	2.89222413E-07	4.57875233E-06	6.55709147E-04	1.31195732E-04	NaN	9.95186786E-08	
7.90000000E+08	1.47452025E-01	9.93621773E-06	5.58190461E-09	1.85618899E-02	3.66636254E-07	4.92209439E-06	7.47761745E-04	1.38330906E-04	NaN	1.03897193E-07	
7.95000000E+08	1.60882357E-01	1.01784873E-05	2.27541977E-09	1.96742374E-02	4.50111447E-07	4.91470557E-06	8.41390814E-04	1.45194827E-04	NaN	1.07843314E-07	
8.00000000E+08	1.73056613E-01	1.04150885E-05	2.78886897E-09	2.08221344E-02	5.29033701E-07	4.62003992E-06	9.36805646E-04	1.51735643E-04	NaN	1.13297057E-07	
8.05000000E+08	1.82745902E-01	1.06852546E-05	1.24686076E-09	2.20067274E-02	6.08955535E-07	4.08934377E-06	1.03420614E-03	1.57870119E-04	NaN	1.17730408E-07	
