S-parameter
"Frequency"[Hz]	"SParameter_port_1_port_1 [dB]"	
7.00000000E+08	-5.72289210E-01	
7.05000000E+08	-6.63609898E-01	
7.10000000E+08	-7.69323040E-01	
7.15000000E+08	-8.91417069E-01	
7.20000000E+08	-1.03211690E+00	
7.25000000E+08	-1.19386304E+00	
7.30000000E+08	-1.37934400E+00	
7.35000000E+08	-1.59139872E+00	
7.40000000E+08	-1.83306170E+00	
7.45000000E+08	-2.10743441E+00	
7.50000000E+08	-2.41768784E+00	
7.55000000E+08	-2.76685537E+00	
7.60000000E+08	-3.15778503E+00	
7.65000000E+08	-3.59288038E+00	
7.70000000E+08	-4.07397820E+00	
7.75000000E+08	-4.60207340E+00	
7.80000000E+08	-5.17691071E+00	
7.85000000E+08	-5.79682266E+00	
7.90000000E+08	-6.45798635E+00	
7.95000000E+08	-7.15388384E+00	
8.00000000E+08	-7.87479808E+00	
8.05000000E+08	-8.60658962E+00	
8.10000000E+08	-9.33047507E+00	
8.15000000E+08	-1.00226709E+01	
8.20000000E+08	-1.06556973E+01	
8.25000000E+08	-1.12015452E+01	
8.30000000E+08	-1.16363739E+01	
8.35000000E+08	-1.19462594E+01	
8.40000000E+08	-1.21304210E+01	
8.45000000E+08	-1.22014458E+01	
8.50000000E+08	-1.21811298E+01	
8.55000000E+08	-1.20950521E+01	
8.60000000E+08	-1.19680701E+01	
8.65000000E+08	-1.18214413E+01	
8.70000000E+08	-1.16719626E+01	
8.75000000E+08	-1.15319958E+01	
8.80000000E+08	-1.14106167E+01	
8.85000000E+08	-1.13139114E+01	
8.90000000E+08	-1.12463787E+01	
8.95000000E+08	-1.12112143E+01	
9.00000000E+08	-1.12109172E+01	
9.05000000E+08	-1.12474539E+01	
9.10000000E+08	-1.13227448E+01	
9.15000000E+08	-1.14387869E+01	
9.20000000E+08	-1.15977940E+01	
9.25000000E+08	-1.18021729E+01	
9.30000000E+08	-1.20549162E+01	
9.35000000E+08	-1.23594533E+01	
9.40000000E+08	-1.27199659E+01	
9.45000000E+08	-1.31410054E+01	
9.50000000E+08	-1.36281467E+01	
9.55000000E+08	-1.41873691E+01	
9.60000000E+08	-1.48249789E+01	
9.65000000E+08	-1.55470664E+01	
9.70000000E+08	-1.63572654E+01	
9.75000000E+08	-1.72531389E+01	
9.80000000E+08	-1.82182618E+01	
9.85000000E+08	-1.92058264E+01	
9.90000000E+08	-2.01154550E+01	
9.95000000E+08	-2.07772682E+01	
1.00000000E+09	-2.09935154E+01	
1.00500000E+09	-2.06666118E+01	
1.01000000E+09	-1.98872085E+01	
1.01500000E+09	-1.88519111E+01	
1.02000000E+09	-1.77325328E+01	
1.02500000E+09	-1.66310828E+01	
1.03000000E+09	-1.55952264E+01	
1.03500000E+09	-1.46416890E+01	
1.04000000E+09	-1.37728162E+01	
1.04500000E+09	-1.29843803E+01	
1.05000000E+09	-1.22698731E+01	
1.05500000E+09	-1.16222147E+01	
1.06000000E+09	-1.10347183E+01	
1.06500000E+09	-1.05011868E+01	
1.07000000E+09	-1.00162412E+01	
1.07500000E+09	-9.57495924E+00	
1.08000000E+09	-9.17307648E+00	
1.08500000E+09	-8.80688550E+00	
1.09000000E+09	-8.47311885E+00	
1.09500000E+09	-8.16888948E+00	
1.10000000E+09	-7.89169762E+00	
1.10500000E+09	-7.63932395E+00	
1.11000000E+09	-7.40978065E+00	
1.11500000E+09	-7.20140563E+00	
1.12000000E+09	-7.01274360E+00	
1.12500000E+09	-6.84238372E+00	
1.13000000E+09	-6.68918305E+00	
1.13500000E+09	-6.55213130E+00	
1.14000000E+09	-6.43033245E+00	
1.14500000E+09	-6.32292903E+00	
1.15000000E+09	-6.22916019E+00	
1.15500000E+09	-6.14832892E+00	
1.16000000E+09	-6.07966675E+00	
1.16500000E+09	-6.02247757E+00	
1.17000000E+09	-5.97590895E+00	
1.17500000E+09	-5.93900686E+00	
1.18000000E+09	-5.91066475E+00	
1.18500000E+09	-5.88949536E+00	
1.19000000E+09	-5.87379631E+00	
1.19500000E+09	-5.86159102E+00	
1.20000000E+09	-5.85045298E+00	
